Using device: cuda
Loading Teacher weights from /home/jay_agarwal_2022/lorentz-gatr/runs/topt/GATr_7327/models/model_run0_it169999.pt...
✓ Loaded L-GATr. Missing: 0 | Unexpected: 12

--- Starting Engineered Knowledge Distillation ---
Epoch 4/100 | Batch 1000/2366 | Soft KD Loss: 8.7425 | Hard Loss: 0.7821 | Total Loss: 4.7623 | LR: 0.000200
Epoch 4/100 | Batch 1200/2366 | Soft KD Loss: 8.5782 | Hard Loss: 1.0025 | Total Loss: 4.7904 | LR: 0.000200
Epoch 4/100 | Batch 1400/2366 | Soft KD Loss: 8.7291 | Hard Loss: 1.1222 | Total Loss: 4.9257 | LR: 0.000200
Epoch 4/100 | Batch 1600/2366 | Soft KD Loss: 8.7022 | Hard Loss: 0.9238 | Total Loss: 4.8130 | LR: 0.000200
Epoch 4/100 | Batch 1800/2366 | Soft KD Loss: 8.6738 | Hard Loss: 0.9165 | Total Loss: 4.7952 | LR: 0.000200
Epoch 4/100 | Batch 2000/2366 | Soft KD Loss: 8.6458 | Hard Loss: 1.0383 | Total Loss: 4.8421 | LR: 0.000200
Epoch 4/100 | Batch 2200/2366 | Soft KD Loss: 8.6016 | Hard Loss: 0.9822 | Total Loss: 4.7919 | LR: 0.000200
====> Epoch 4 Average KD Loss: 4.8047 | LR: 0.000200
Epoch 5/100 | Batch 0/2366 | Soft KD Loss: 8.6717 | Hard Loss: 0.9373 | Total Loss: 4.8045 | LR: 0.000200
Epoch 5/100 | Batch 200/2366 | Soft KD Loss: 8.6512 | Hard Loss: 1.0707 | Total Loss: 4.8610 | LR: 0.000200
Epoch 5/100 | Batch 400/2366 | Soft KD Loss: 8.4244 | Hard Loss: 0.9340 | Total Loss: 4.6792 | LR: 0.000200
Epoch 5/100 | Batch 600/2366 | Soft KD Loss: 8.5544 | Hard Loss: 1.0653 | Total Loss: 4.8098 | LR: 0.000200
Epoch 5/100 | Batch 800/2366 | Soft KD Loss: 8.6615 | Hard Loss: 0.8518 | Total Loss: 4.7566 | LR: 0.000200
Epoch 5/100 | Batch 1000/2366 | Soft KD Loss: 8.6038 | Hard Loss: 0.8469 | Total Loss: 4.7253 | LR: 0.000200
Epoch 5/100 | Batch 1200/2366 | Soft KD Loss: 8.4276 | Hard Loss: 1.0055 | Total Loss: 4.7165 | LR: 0.000200
Epoch 5/100 | Batch 1400/2366 | Soft KD Loss: 8.5266 | Hard Loss: 1.0069 | Total Loss: 4.7667 | LR: 0.000200
Epoch 5/100 | Batch 1600/2366 | Soft KD Loss: 8.3386 | Hard Loss: 1.1836 | Total Loss: 4.7611 | LR: 0.000200
Epoch 5/100 | Batch 1800/2366 | Soft KD Loss: 8.7716 | Hard Loss: 1.1133 | Total Loss: 4.9424 | LR: 0.000200
Epoch 5/100 | Batch 2000/2366 | Soft KD Loss: 8.6342 | Hard Loss: 1.0026 | Total Loss: 4.8184 | LR: 0.000200
Epoch 5/100 | Batch 2200/2366 | Soft KD Loss: 8.3169 | Hard Loss: 1.0008 | Total Loss: 4.6589 | LR: 0.000200
====> Epoch 5 Average KD Loss: 4.7519 | LR: 0.000200
Epoch 6/100 | Batch 0/2366 | Soft KD Loss: 8.2544 | Hard Loss: 0.9742 | Total Loss: 4.6143 | LR: 0.000200
Epoch 6/100 | Batch 200/2366 | Soft KD Loss: 8.2874 | Hard Loss: 0.9738 | Total Loss: 4.6306 | LR: 0.000200
Epoch 6/100 | Batch 400/2366 | Soft KD Loss: 8.4788 | Hard Loss: 1.0067 | Total Loss: 4.7428 | LR: 0.000200
Epoch 6/100 | Batch 600/2366 | Soft KD Loss: 8.2918 | Hard Loss: 0.9961 | Total Loss: 4.6439 | LR: 0.000200
Epoch 6/100 | Batch 800/2366 | Soft KD Loss: 8.3629 | Hard Loss: 0.9555 | Total Loss: 4.6592 | LR: 0.000200
Epoch 6/100 | Batch 1000/2366 | Soft KD Loss: 8.4587 | Hard Loss: 1.1623 | Total Loss: 4.8105 | LR: 0.000200
Epoch 6/100 | Batch 1200/2366 | Soft KD Loss: 8.4051 | Hard Loss: 1.1499 | Total Loss: 4.7775 | LR: 0.000200
Epoch 6/100 | Batch 1400/2366 | Soft KD Loss: 8.4190 | Hard Loss: 0.9152 | Total Loss: 4.6671 | LR: 0.000200
Epoch 6/100 | Batch 1600/2366 | Soft KD Loss: 8.4173 | Hard Loss: 1.0670 | Total Loss: 4.7422 | LR: 0.000200
Epoch 6/100 | Batch 1800/2366 | Soft KD Loss: 8.1788 | Hard Loss: 1.0576 | Total Loss: 4.6182 | LR: 0.000200
