nohup: ignoring input
Using device: cuda
Loading Teacher weights from /home/jay_agarwal_2022/lorentz-gatr/runs/topt/GATr_7327/models/model_run0_it169999.pt...
✓ Loaded L-GATr. Missing: 0 | Unexpected: 12

--- Starting Knowledge Distillation ---
Epoch 2 | Batch 1100/9461 | Loss: 4.5858
Epoch 2 | Batch 1200/9461 | Loss: 4.5311
Epoch 2 | Batch 1300/9461 | Loss: 4.7085
Epoch 2 | Batch 1400/9461 | Loss: 4.5989
Epoch 2 | Batch 1500/9461 | Loss: 4.6275
Epoch 2 | Batch 1600/9461 | Loss: 4.6408
Epoch 2 | Batch 1700/9461 | Loss: 4.6928
Epoch 2 | Batch 1800/9461 | Loss: 4.5680
Epoch 2 | Batch 1900/9461 | Loss: 4.6221
Epoch 2 | Batch 2000/9461 | Loss: 4.4097
Epoch 2 | Batch 2100/9461 | Loss: 4.5360
Epoch 2 | Batch 2200/9461 | Loss: 4.5297
Epoch 2 | Batch 2300/9461 | Loss: 4.5140
Epoch 2 | Batch 2400/9461 | Loss: 4.4318
Epoch 2 | Batch 2500/9461 | Loss: 4.6717
Epoch 2 | Batch 2600/9461 | Loss: 4.5561
Epoch 2 | Batch 2700/9461 | Loss: 4.6930
Epoch 2 | Batch 2800/9461 | Loss: 4.5450
Epoch 2 | Batch 2900/9461 | Loss: 4.5680
Epoch 2 | Batch 3000/9461 | Loss: 4.5581
Epoch 2 | Batch 3100/9461 | Loss: 4.5666
Epoch 2 | Batch 3200/9461 | Loss: 4.4793
Epoch 2 | Batch 3300/9461 | Loss: 4.5059
Epoch 2 | Batch 3400/9461 | Loss: 4.4670
Epoch 2 | Batch 3500/9461 | Loss: 4.7089
Epoch 2 | Batch 3600/9461 | Loss: 4.7498
Epoch 2 | Batch 3700/9461 | Loss: 4.2068
Epoch 2 | Batch 3800/9461 | Loss: 4.7085
Epoch 2 | Batch 3900/9461 | Loss: 4.7052
Epoch 2 | Batch 4000/9461 | Loss: 4.4377
Epoch 2 | Batch 4100/9461 | Loss: 4.6667
Epoch 2 | Batch 4200/9461 | Loss: 4.6315
Epoch 2 | Batch 4300/9461 | Loss: 4.4356
Epoch 2 | Batch 4400/9461 | Loss: 4.4669
Epoch 2 | Batch 4500/9461 | Loss: 4.5694
Epoch 2 | Batch 4600/9461 | Loss: 4.3532
Epoch 2 | Batch 4700/9461 | Loss: 4.3008
Epoch 2 | Batch 4800/9461 | Loss: 4.6871
Epoch 2 | Batch 4900/9461 | Loss: 4.7212
Epoch 2 | Batch 5000/9461 | Loss: 4.6381
Epoch 2 | Batch 5100/9461 | Loss: 4.2690
Epoch 2 | Batch 5200/9461 | Loss: 4.1780
Epoch 2 | Batch 5300/9461 | Loss: 4.5716
Epoch 2 | Batch 5400/9461 | Loss: 4.3821
Epoch 2 | Batch 5500/9461 | Loss: 4.4181
Epoch 2 | Batch 5600/9461 | Loss: 4.4660
Epoch 2 | Batch 5700/9461 | Loss: 4.5740
Epoch 2 | Batch 5800/9461 | Loss: 4.3475
Epoch 2 | Batch 5900/9461 | Loss: 4.4470
Epoch 2 | Batch 6000/9461 | Loss: 4.4654
Epoch 2 | Batch 6100/9461 | Loss: 4.6405
Epoch 2 | Batch 6200/9461 | Loss: 4.4814
Epoch 2 | Batch 6300/9461 | Loss: 4.6394
Epoch 2 | Batch 6400/9461 | Loss: 4.6911
Epoch 2 | Batch 6500/9461 | Loss: 4.5723
Epoch 2 | Batch 6600/9461 | Loss: 4.7312
Epoch 2 | Batch 6700/9461 | Loss: 4.2685
Epoch 2 | Batch 6800/9461 | Loss: 4.6158
Epoch 2 | Batch 6900/9461 | Loss: 4.6229
Epoch 2 | Batch 7000/9461 | Loss: 4.2543
Epoch 2 | Batch 7100/9461 | Loss: 4.7072
Epoch 2 | Batch 7200/9461 | Loss: 4.6618
Epoch 2 | Batch 7300/9461 | Loss: 4.3956
Epoch 2 | Batch 7400/9461 | Loss: 4.4734
Epoch 2 | Batch 7500/9461 | Loss: 4.7149
Epoch 2 | Batch 7600/9461 | Loss: 4.6001
Epoch 2 | Batch 7700/9461 | Loss: 4.8981
Epoch 2 | Batch 7800/9461 | Loss: 4.6460
Epoch 2 | Batch 7900/9461 | Loss: 4.4805
Epoch 2 | Batch 8000/9461 | Loss: 4.4073
Epoch 2 | Batch 8100/9461 | Loss: 4.4037
Epoch 2 | Batch 8200/9461 | Loss: 4.6406
Epoch 2 | Batch 8300/9461 | Loss: 4.4313
Epoch 2 | Batch 8400/9461 | Loss: 4.4473
Epoch 2 | Batch 8500/9461 | Loss: 4.3114
Epoch 2 | Batch 8600/9461 | Loss: 4.4025
Epoch 2 | Batch 8700/9461 | Loss: 4.4956
Epoch 2 | Batch 8800/9461 | Loss: 4.4375
Epoch 2 | Batch 8900/9461 | Loss: 4.5547
Epoch 2 | Batch 9000/9461 | Loss: 4.5506
Epoch 2 | Batch 9100/9461 | Loss: 4.4635
Epoch 2 | Batch 9200/9461 | Loss: 4.4606
Epoch 2 | Batch 9300/9461 | Loss: 4.6150
Epoch 2 | Batch 9400/9461 | Loss: 4.5681
Epoch 3 | Batch 0/9461 | Loss: 4.5620
Epoch 3 | Batch 100/9461 | Loss: 4.5927
Epoch 3 | Batch 200/9461 | Loss: 4.5266
Epoch 3 | Batch 300/9461 | Loss: 4.6681
Epoch 3 | Batch 400/9461 | Loss: 4.6388
Epoch 3 | Batch 500/9461 | Loss: 4.5816
Epoch 3 | Batch 600/9461 | Loss: 4.4344
Epoch 3 | Batch 700/9461 | Loss: 4.5675
Epoch 3 | Batch 800/9461 | Loss: 4.3654
Epoch 3 | Batch 900/9461 | Loss: 4.4186
Epoch 3 | Batch 1000/9461 | Loss: 4.3592
Epoch 3 | Batch 1100/9461 | Loss: 4.5026
Epoch 3 | Batch 1200/9461 | Loss: 4.5115
Epoch 3 | Batch 1300/9461 | Loss: 4.5297
Epoch 3 | Batch 1400/9461 | Loss: 4.5923
Epoch 3 | Batch 1500/9461 | Loss: 4.6415
Epoch 3 | Batch 1600/9461 | Loss: 4.4094
Epoch 3 | Batch 1700/9461 | Loss: 4.6180
Epoch 3 | Batch 1800/9461 | Loss: 4.4369
Epoch 3 | Batch 1900/9461 | Loss: 4.5508
Epoch 3 | Batch 2000/9461 | Loss: 4.4022
Epoch 3 | Batch 2100/9461 | Loss: 4.4034
Epoch 3 | Batch 2200/9461 | Loss: 4.4476
Epoch 3 | Batch 2300/9461 | Loss: 4.4893
Epoch 3 | Batch 2400/9461 | Loss: 4.5396
Epoch 3 | Batch 2500/9461 | Loss: 4.5790
Epoch 3 | Batch 2600/9461 | Loss: 4.4540
Epoch 3 | Batch 2700/9461 | Loss: 4.4036
Epoch 3 | Batch 2800/9461 | Loss: 4.5226
Epoch 3 | Batch 2900/9461 | Loss: 4.7519
Epoch 3 | Batch 3000/9461 | Loss: 4.7778
Epoch 3 | Batch 3100/9461 | Loss: 4.4897
Epoch 3 | Batch 3200/9461 | Loss: 4.4473
Epoch 3 | Batch 3300/9461 | Loss: 4.4479
Epoch 3 | Batch 3400/9461 | Loss: 4.5336
Epoch 3 | Batch 3500/9461 | Loss: 4.5751
Epoch 3 | Batch 3600/9461 | Loss: 4.5628
Epoch 3 | Batch 3700/9461 | Loss: 4.3690
Epoch 3 | Batch 3800/9461 | Loss: 4.7666
Epoch 3 | Batch 3900/9461 | Loss: 4.7172
Epoch 3 | Batch 4000/9461 | Loss: 4.6571
Epoch 3 | Batch 4100/9461 | Loss: 4.6002
Epoch 3 | Batch 4200/9461 | Loss: 4.5044
Epoch 3 | Batch 4300/9461 | Loss: 4.6986
Epoch 3 | Batch 4400/9461 | Loss: 4.6804
Epoch 3 | Batch 4500/9461 | Loss: 4.4473
Epoch 3 | Batch 4600/9461 | Loss: 4.4035
Epoch 3 | Batch 4700/9461 | Loss: 4.2194
